Date,Semantic,Weight,Link,Notes
11/21/2021,0,0,0,0
11/22/2021,0,0,0,0
11/23/2021,0,0,0,0
11/24/2021,0,0,0,0
11/25/2021,0,0,0,0
11/26/2021,0,0,0,0
11/27/2021,0,0,0,0
11/28/2021,0,0,0,0
11/29/2021,0,0,0,0
11/30/2021,0,0,0,0
12/01/2021,0,0,0,0
12/02/2021,1,1,Discord ,MAYC X BAYC Game
12/03/2021,1,1,https://ca.finance.yahoo.com/news/adidas-originals-leaps-metaverse-bayc-093007505.html,Adiddas X BAYC 
12/04/2021,0,0,0,0
12/05/2021,0,0,0,0
12/06/2021,0,0,0,0
12/07/2021,0,0,0,0
12/08/2021,0,0,0,0
12/09/2021,0,0,0,0
12/10/2021,0,0,0,0
12/11/2021,0,0,0,0
12/12/2021,0,0,0,0
12/13/2021,1,1,https://www.theverge.com/22824387/bored-ape-yacht-club-nft-party-new-york,
12/14/2021,0,0,0,0
12/15/2021,0,0,0,0
12/16/2021,0,0,0,0
12/17/2021,0,0,0,0
12/18/2021,0,0,0,0
12/19/2021,0,0,0,0
12/20/2021,0,0,0,0
12/21/2021,0,0,0,0
12/22/2021,0,0,0,0
12/23/2021,0,0,0,0
12/24/2021,0,0,0,0
12/25/2021,0,0,0,0
12/26/2021,0,0,0,0
12/27/2021,0,0,0,0
12/28/2021,0,0,0,0
12/29/2021,0,0,0,0
12/30/2021,0,0,0,0
12/31/2021,0,0,0,0
01/01/2022,0,0,0,0
01/02/2022,0,0,0,0
01/03/2022,0,0,0,0
01/04/2022,1,1,https://www.morningbrew.com/daily/stories/NFT-Bored-Ape-Yacht-Club-pass-1-billion-sales,
01/05/2022,0,0,0,0
01/06/2022,0,0,0,0
01/07/2022,0,0,0,0
01/08/2022,0,0,0,0
01/09/2022,0,0,0,0
01/10/2022,0,0,0,0
01/11/2022,0,0,0,0
01/12/2022,0,0,0,0
01/13/2022,0,0,0,0
01/14/2022,0,0,0,0
01/15/2022,0,0,0,0
01/16/2022,0,0,0,0
01/17/2022,0,0,0,0
01/18/2022,0,0,0,0
01/19/2022,0,0,0,0
01/20/2022,0,0,0,0
01/21/2022,0,0,0,0
01/22/2022,0,0,0,0
01/23/2022,0,0,0,0
01/24/2022,0,0,0,0
01/25/2022,0,0,0,0
01/26/2022,0,0,0,0
01/27/2022,0,0,0,0
01/28/2022,0,0,0,0
01/29/2022,0,0,0,0
01/30/2022,0,0,0,0
01/31/2022,0,0,0,0
02/01/2022,0,0,0,0
02/02/2022,0,0,0,0
02/03/2022,-1,1,https://fortune.com/2022/02/03/nft-collector-crypto-art-museum-market-crash/,
02/04/2022,0,0,0,0
02/05/2022,0,0,0,0
02/06/2022,0,0,0,0
02/07/2022,1,1,https://www.vanityfair.com/news/2022/02/bored-ape-yacht-club-revealed,
02/08/2022,1,2,https://www.wired.com/story/celebrity-nfts/,Wired Article
02/09/2022,0,0,0,0
02/10/2022,0,0,0,0
02/11/2022,0,0,0,0
02/12/2022,0,0,0,0
02/13/2022,0,0,0,0
02/14/2022,0,0,0,0
02/15/2022,0,0,0,0
02/16/2022,0,0,0,0
02/17/2022,0,0,0,0
02/18/2022,0,0,0,0
02/19/2022,-1,1,https://www.forbes.com/sites/billybambrough/2022/02/20/crypto-price-crash-panic-serious-nft-hack-suddenly-sends-bitcoin-ethereum-bnb-solana-and-cardano-sharply-lower/?sh=1cc20f694244,Forbes Hack Article
02/20/2022,0,0,0,0
02/21/2022,0,0,0,0
02/22/2022,0,0,0,0
02/23/2022,0,0,0,0
02/24/2022,0,0,0,0
02/25/2022,0,0,0,0
02/26/2022,0,0,0,0
02/27/2022,0,0,0,0
02/28/2022,0,0,0,0
03/01/2022,0,0,0,0
03/02/2022,0,0,0,0
03/03/2022,0,0,0,0
03/04/2022,-1,1,https://fortune.com/2022/03/04/nft-bubble-market-crash-price-value/,NFTs down
03/05/2022,0,0,0,0
03/06/2022,0,0,0,0
03/07/2022,0,0,0,0
03/08/2022,0,0,0,0
03/09/2022,0,0,0,0
03/10/2022,0,0,0,0
03/11/2022,1,1,Discord,BAYC buys Punks
03/12/2022,0,0,0,0
03/13/2022,0,0,0,0
03/14/2022,0,0,0,0
03/15/2022,0,0,0,0
03/16/2022,1,2,Twitter ,Ape Coin
03/17/2022,0,0,0,0
03/18/2022,1,1,Twitter,0
03/19/2022,0,0,0,0
03/20/2022,0,0,0,0
03/21/2022,0,0,0,0
03/22/2022,1,1,https://www.theverge.com/2022/3/22/22991272/yuga-labs-seed-funding-a16z-bored-ape-yacht-club-bayc-metaverse-other-side,Fundraise
03/23/2022,0,0,0,0
03/24/2022,0,0,0,0
03/25/2022,0,0,0,0
03/26/2022,0,0,0,0
03/27/2022,0,0,0,0
03/28/2022,0,0,0,0
03/29/2022,0,0,0,0
03/30/2022,0,0,0,0
03/31/2022,1,1,Twitter ,Merch Drop
